language_name,yesterday,today,tomorrow,the day,the day before yesterday,the day after tomorrow,two days,two days before now,two days after now,four days,four days before now,four days from now,three days,three days before now,three days from now,value_yesterday,value_today,value_tomorrow,value_day_before_yesterday,value_day_after_tomorrow,time_window,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Top_Family,Subfamily,Genus,Country_ID,Family_in_Data,Subgroup,society_ID,society,Glottocode_society,society_language,region,PC1,PC2,PC3,Gathering,Hunting,Fishing,AnimalHusbandry,Agriculture,subsistence_year,...55,Population size [EA202],Population_year,Mean size of local communities [EA031],Family,Population_size
Udmurt,толло доры,туннэ,ӵуказе,нунал,толон азьвыл нуналэ,ӵуказе нунал,кык нунал,кык нунал талэсь азьло,кык нунал ортчыса али,куать нунал,куать нунал талэсь азьло,куать нунал ортчыса,куинь нунал,куинь нунал талэсь азьло,куинь нунал ортчыса,1,1,1,0.5,0.5,1,Eurasia,57.5,52.5,udmu1245,udm,Uralic,Finno-Ugric,Permic,RU,Uralic,None,ch26,Udmurt,sout2681,South Udmurt,Eastern Europe,-1.495517858,-1.480002005,0.666186833,0.025,0.025,0.025,0.105,0.93,1890,NA,504000,1926,200-399,Uralic,299.5
Venda,mulovha,ṋamusi,matshelo,duvha,duvha la phanda ha mulovha .,duvha la matshelo .,maduvha mavhili .,maḓuvha mavhili phanḓa ha zwino,nga murahu ha maduvha mavhili zwino,maḓuvha maṋa .,maḓuvha maṋa phanḓa ha zwino .,maḓuvha maṋa u bva zwino .,maduvha mararu .,maḓuvha mararu phanḓa ha zwino .,maḓuvha mararu u bva zwino .,1,1,1,0.5,0.5,1,Africa,-22,30,vend1245,ven,Niger-Congo,Benue-Congo,Bantu,ZA ZW,NA,NA,Ab6,Venda,vend1245,Venda,Southern Africa,-0.116873408,-0.143273645,0.942981956,0.105,0.105,0.025,0.205,0.605,1900,NA,150000,1930,200-300,Niger-Congo,250
Vietnamese,hôm qua,hôm nay,ngày mai,ngày,ngày hôm kia,ngày mốt,hai ngày,hai ngày trước đây,hai ngày sau đây,bốn ngày,bốn ngày trước đây,bốn ngày kể từ bây giờ,ba ngày,ba ngày trước đây,ba ngày kể từ bây giờ,1,1,1,0.5,0.5,1,Eurasia,10.5,106.5,viet1252,vie,Austro-Asiatic,Mon-Khmer,Vietic,0,Austroasiatic,None,Ej4,Annamese,viet1252,Vietnamese,Indo-China,-0.343869779,-0.570020608,-0.706077005,0.025,0.025,0.205,0.205,0.605,1950,Red River Delta in Tonkin,22000000,NA,50000,Austroasiatic,50000
Wolof,démb,tey,suba,bis bi,bis bi njëkk démb,ëlëg,ñaari fan,ñaari fan ci ginaaw leegi,ñaari fan ci ginnaaw leegi,ñeenti fan,ñeenti fan balaa leegi,ñeenti fan ci ginaaw,ñetti fan,ñetti fan balaa leegi,ñetti fan ci ginaaw leegi,1,1,1,0,0.5,0.5,Africa,15.25,-16,nucl1347,wol,Niger-Congo,North-Central Atlantic,Wolof,GM SN,NA,NA,Cb2,Wolof,nucl1347,Wolof,West Tropical Africa,-0.829949412,0.066112944,-0.220475284,0.025,0.025,0.105,0.305,0.605,1950,NA,660000,1949,50000,Niger-Congo,50000
Yakut,бэҕэһээ,бүгүн,сарсын,күн,бэҕэһээҥҥи күн,сарсыҥҥы күн,икки күн,билигин икки хонук иннинэ,билигин икки хонон баран,түөрт күн,түөрт күн иннинэ,түөрт күнүнэн,үс күн,билигин үс хонук иннинэ,үс хонугунан,1,1,1,0,0,0,Eurasia,62,130,yaku1245,sah,Altaic,None,Turkic,RU,Turkic,None,Ec2,Yakut,yaku1245,Sakha,Siberia,1.823247755,1.73688734,-0.450090911,0.105,0.205,0.205,0.405,0.105,1900,NA,245000,1900,50-99,Altaic,74.5
Yoruba,lana,loni,ọla,ọjọ́ náà,ojo iwaju ana,ọjọ lẹhin ọla,ọjọ meji,ọjọ meji ṣaaju bayi,ọjọ meji lẹhin bayi,mẹrin ọjọ,mẹrin ọjọ ṣaaju ki o to bayi,ọjọ mẹrin lati isisiyi,ọjọ mẹta,ọjọ mẹta ṣaaju bayi,ọjọ mẹta lati isisiyi,1,1,1,0,0.5,0.5,Africa,8,4.333333333,yoru1245,yor,Niger-Congo,Benue-Congo,Defoid,NG BJ,Atlantic-Congo,None,Af6,Oyo Yoruba,oyoo1238,Oyo,West Tropical Africa,-0.95729765,-1.3246796,0.106895971,0.025,0.025,0.105,0.105,0.805,1950,NA,5500000,1950,50000,Niger-Congo,50000
Yucatec Maya,jo'oljeak,be'elajake',sáamal,le k'iino',le k'iin táanil ti' jo'oljeake',u k'iinil sáamal,ka'ap'éel k'iin,ka'ap'éel k'iin táanil ti' bejla'e',ka'ap'éel k'iin ka' bejla'e',kanp'éel k'iin,kanp'éel k'iin táanil ti' bejla'e',kanp'éel k'iin tak bejla'e',óoxp'éel k'iin,óoxp'éel k'iin táanil ti' bejla'e',óoxp'éel k'iin tak bejla'e',1,1,1,0.5,0,0.5,North America,20,-89,yuca1254,yua,Mayan,NA,Mayan,MX,yua,NA,Sa6,Yucatec Maya,yuca1254,Yucatec Maya,Mexico,0.165096959,-1.553946254,-0.314857591,0.025,0.105,0.205,0.025,0.705,1520,NA,NA,NA,5000-50000,Mayan,27500
Zapotec,neegue',yannadxí,guixí,dxi que .,ti dxi ante de ayer .,dxi despué de sti dxi .,chupa gubidxa .,chupa gubidxa ante de yanna .,chupa gubidxa despué de yanna .,tapa gubidxa .,tapa gubidxa ante de yanna .,tapa gubidxa de yanna .,chonna gubidxa .,chonna gubidxa ante de yanna .,chonna gubidxa de yanna .,1,1,1,0.5,0,0.5,North America,16.416667,-95,isth1244,zai,Oto-Manguean,NA,Zapotecan,MX,NA,NA,NA,Zapotec,yala1267,Yalálag Zapotec,NA,-0.95729765,-1.3246796,0.106895971,0.025,0.025,0.105,0.105,0.805,1940,mountain village of Yalagag,NA,NA,5000-50000,Oto-Manguean,27500
Wu Chinese,zoʔ2.ȵiəʔ3‧,tɕin4.tsæ0‧,mən2.tsæ3‧,,zɪ2.ȵiəʔ3‧,Ǿøʏ23.ȵiəʔ1‧,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,NA,31.67,120.8,wuch1236,wuu,Sino-Tibetan,NA,NA,NA,NA,NA,Ed15b,Kiangsu,wuch1236,Wu Chinese,China,-0.95729765,-1.3246796,0.106895971,0.025,0.025,0.105,0.105,0.805,1936,NA,NA,None,50000,Sino-Tibetan,50000
Nuosu,a21ndzɿ33ȵi44‧,i21ȵi21‧,mo21xɯ33ȵi21‧,,a21ȵi21ʂɿ33mu34ndzɿ33ȵi44‧,pʰi55ndzɿ33ȵi44‧,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.5,0.5,0.5,1,Eurasia,28,103,sich1238,iii,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,NA,iii,CN,Ed2,Lolo,sich1238,Sichuan Yi,China,-0.646172261,0.28649041,0.395539881,0.025,0.105,0.025,0.305,0.605,1940,NA,NA,NA,100-199,Sino-Tibetan,149.5
Min (Southern),tsoʔ31.lit35‧,kin22.lit35‧,biã22.tsa13‧,,tsok31.it35,Ǿau31.lit0‧,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,Eurasia,25,118,minn1241,nan,Sino-Tibetan,NA,Chinese,NA,nan,TW CN,Ed6,Min Chinese,chao1239,Chaoshan,China,-0.893623531,-0.629283328,-0.056789657,0.025,0.025,0.105,0.205,0.705,1920,NA,600,1954,50000,Sino-Tibetan,50000
Bai,tseɹ21seɹ44ȵi44‧,keɹ55ȵi44‧,meɹ55ȵi44‧,,tɯ21ȵi44‧,a31tsɿ42ȵi44‧,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,1,1,0.5,1.5,Eurasia,26,100,cent2004,bca,Sino-Tibetan,Tibeto-Burman,Macro-Bai,NA,bca,CN,Ed8,Minchia,cent2004,Central Bai,China,-0.893623531,-0.629283328,-0.056789657,0.025,0.025,0.105,0.205,0.705,1930,NA,400000,None,400-1000,Sino-Tibetan,700
Hlai (Baoding),vɔn21va32‧,vaŋ33ne31‧,pai33pʰaŋ33‧,,pai33plɔu33‧,pai33ȵeɯ11‧,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,Eurasia,19,109.5,hlai1239,lic,Tai-Kadai,NA,Hlai,NA,lic,CN,Ed9,Li,hlai1239,Hlai,China,-0.289976517,-1.008930967,0.185765263,0.025,0.105,0.105,0.105,0.705,1930,NA,220000,1931,100-199,Sino-Tibetan,149.5
Central Tibetans,ཁ་སང་kʰɛ55sa55‧,དེ་རིང་tʰə11rĩ13‧,སང་ཉིནsɛ̃55ȵĩ55‧,ཉིན།,ཁ་སང་ཉིན་སྔོན་མ།kʰɛ55ȵĩ55ka0‧,སང་ཉིན་གྱི་ཉིན་མོ།nɛ̃55ȵĩ55‧,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0.5,1,1.5,NA,30,91,NA,NA,Sino-Tibetan,NA,NA,NA,NA,NA,Ee4,Central Tibetans,dbus1238,Ü,China,-1.249819275,0.666138049,0.152984961,0.025,0.025,0.025,0.405,0.605,1920,NA,4000000,None,5000-50000,Sino-Tibetan,27500
Sherpa,dang,haring,sala,,kharnup,nāa,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,Eurasia,27.75,86.83333333,sher1255,xsr,Sino-Tibetan,Tibeto-Burman,Bodic,NA,xsr,NP,Ee6,Sherpa,sher1255,Solu-Khumbu Sherpa,China,-1.186145156,1.361534321,-0.010700666,0.025,0.025,0.025,0.505,0.505,1950,NA,NA,1931,200-399,Sino-Tibetan,299.5
