language_name,yesterday,today,tomorrow,the day,the day before yesterday,the day after tomorrow,two days,two days before now,two days after now,four days,four days before now,four days from now,three days,three days before now,three days from now,value_yesterday,value_today,value_tomorrow,value_day_after_tomorrow,value_day_before_yesterday,time_window,time_window_all,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Top_Family,Subfamily,Genus,Country_ID,society_ID,society,Glottocode_society,society_language,Region,PC1,PC2,PC3,Gathering,Hunting,Fishing,AnimalHusbandry,Agriculture,subsistence_year,...55,Population size [EA202],Population_year,Mean size of local communities [EA031],Family
Shona,nezuro,nhasi,mangwana,zuva,zuva rakapfuura nezuro,kuswera mangwana,mazuva maviri,mazuva maviri zvisati zvaitika,mazuva maviri gare gare,mazuva mana,mazuva mana zvisati zvaitika,mazuva mana kubva zvino,mazuva matatu,mazuva matatu zvisati zvaitika,mazuva matatu kubva zvino,1,1,1,0.5,0.5,1,4,Africa,-18,31,shon1251,sna,Niger-Congo,Benue-Congo,Bantu,ZW,Ab18,Shona,shon1251,Shona,South Tropical Africa,0.366670575,-0.047902478,0.405836085,0.105,0.105,0.105,0.205,0.505,1920,with special reference to the Zezuru,700000,1931,100-199,Niger-Congo
Armenian,երեկ,այսօր,վաղը,օրը,նախօրեին,վաղը մյուս օրը,երկու օր,երկու օր առաջ,երկու օր անց,չորս օր,չորս օր առաջ,չորս օրից,երեք օր,երեք օր առաջ,երեք օրից,1,1,1,1,0.5,1.5,4.5,Eurasia,40,45,nucl1235,hye,Indo-European,NA,Armenian,AM,NA,Armenians,nucl1235,Eastern Armenian,Caucasus,-1.313493394,-0.029258223,0.316670588,0.025,0.025,0.025,0.305,0.705,1900,NA,NA,NA,50000,Indo-European
Czech,včera,dnes,zítra,den,předevčírem,pozítří,dva dny,před dvěma dny,dva dny poté,čtyři dny,před čtyřmi dny,za čtyři dny,tři dny,před třemi dny,za tři dny,1,1,1,1,1,2,5,Eurasia,50,15,czec1258,ces,Indo-European,None,Slavic,CZ,Ch3,Czechs,czec1258,Czech,Middle Europe,-1.313493394,-0.029258223,0.316670588,0.025,0.025,0.025,0.305,0.705,1940,NA,8800000,1950,50000,Indo-European
Russian,вчера,сегодня,завтра,день,позавчера,послезавтра,два дня,два дня до настоящего момента,два дня после настоящего момента,четыре дня,четыре дня до настоящего момента,четыре дня от настоящего момента,три дня,три дня от настоящего момента,три дня от настоящего момента,1,1,1,1,1,2,5,Eurasia,56,38,russ1263,rus,Indo-European,None,Slavic,RU,SCCS54,Russians,russ1263,Russian,Eastern Europe,-1.313493394,-0.029258223,0.316670588,0.025,0.025,0.025,0.305,0.705,1955,NA,NA,NA,50000,Indo-European
Spanish,ayer,hoy,mañana,el día,anteayer,pasado mañana,dos días,dos días antes de ahora,dos días después de ahora,cuatro días,cuatro días antes de ahora,dentro de cuatro días,tres días,tres días antes de ahora,dentro de tres días,1,1,1,1,0.5,1.5,4.5,Eurasia,40,-4,stan1288,spa,Indo-European,None,Romance,ES,Ce6,Spaniards,stan1288,Spanish,Southwestern Europe,-1.313493394,-0.029258223,0.316670588,0.025,0.025,0.025,0.305,0.705,1950,NA,NA,NA,50000,Indo-European
Balinese,ibi,dina jani,binmani,rahina,rahina sadurung dibi,rahina benjang,kalih rahina,kalih rahina sadurung mangkin,kalih rahina sasampun mangkin,petang rahina,petang rahina sadurung mangkin,petang rahina saking mangkin,tigang rahina,tigang rahina sadurung mangkin,tigang rahina saking mangkin,1,1,1,0.5,0,0.5,3.5,Papunesia,-8.333333333,115.25,bali1278,ban,Austronesian,None,Malayo-Sumbawan,ID,Ib3,Balinese,bali1278,Balinese,Malesia,-1.313493394,-0.029258223,0.316670588,0.025,0.025,0.025,0.305,0.705,1950,NA,1000000,1959,200-399,Austronesian
Tigrinya,ትማሊ,ሎምዓንቲ,ፅባሕ,እታ መዓልቲ,ቅድሚ ትማሊ ዝነበረ መዓልቲ,ድሕሪ ጽባሕ ዝመጽእ መዓልቲ,ክልተ መዓልቲ,ክልተ መዓልቲ ቅድሚ ሕጂ,ድሕሪ ክልተ መዓልቲ ሕጂ,ኣርባዕተ መዓልቲ,ቅድሚ ሕጂ ኣርባዕተ መዓልቲ,ድሕሪ ኣርባዕተ መዓልቲ,ሰለስተ መዓልቲ,ቅድሚ ሰለስተ መዓልቲ,ድሕሪ ሰለስተ መዓልቲ,1,1,1,0.5,0.5,1,4,Africa,14.5,38.5,tigr1271,tir,Afro-Asiatic,None,Semitic,ET ER,Ca3,Tigrinya,tigr1271,Tigrinya,Northeast Tropical Africa,-1.313493394,-0.029258223,0.316670588,0.025,0.025,0.025,0.305,0.705,1950,NA,1000000,NA,5000-50000,Afro-Asiatic
Tetum/Tetun,horiseik,ohin loron,aban,loron,loron antes horisehik,loron tuir mai,loron rua,loron rua antes agora,loron rua hafoin agora,loron haat,loron haat antes agora,loron haat husi agora,loron tolu,loron tolu antes agora,loron tolu husi agora,1,1,1,0.5,0,0.5,3.5,Papunesia,-9,126,tetu1245,tet,Austronesian,NA,Central Malayo-Polynesian,TL,Ic3,Belu,tetu1245,Tetum,Malesia,-1.313493394,-0.029258223,0.316670588,0.025,0.025,0.025,0.305,0.705,1950,NA,82000,1952,NA,Austronesian
Telugu,నిన్న,నేడు,రేపు,రోజు,నిన్నటికి ముందు రోజు,రేపు మరుసటి రోజు,రెండు రోజులు,ఇప్పుడు రెండు రోజుల ముందు,ఇప్పుడు రెండు రోజుల తర్వాత,నాలుగు రోజులు,ఇప్పుడు నాలుగు రోజుల ముందు,ఇప్పటి నుండి నాలుగు రోజులు,మూడు రోజులు,ఇప్పుడు మూడు రోజుల ముందు,ఇప్పటి నుండి మూడు రోజులు,1,1,1,0.5,0,0.5,3.5,Eurasia,16,79,telu1262,tel,Dravidian,None,Dravidian,IN,NA,Telugu,telu1262,Telugu,Indian Subcontinent,-1.313493394,-0.029258223,0.316670588,0.025,0.025,0.025,0.305,0.705,1950,NA,2500,1951,50000,Dravidian
Penobscot,wə̀lαkəwe,wə̀lαte,sèpa,,awahsí-wəlαkəwe,awahsí-sepa,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0.5,0.5,1,4,NA,45,-68,NA,NA,Algic,NA,NA,NA,Ng4,Penobscot,peno1243,Penobscot,Northeastern U.S.A.,3.783035492,-0.012021343,0.93293423,0.205,0.405,0.205,0.025,0.205,1900,300,NA,NA,NA,Algic
Fongbe,sɔ́,égbé,sɔ,azǎn ɔ,azǎn e jɛ nukɔn nú sɔ̀ é,sɔ e bɔ d'ewu e,azǎn we,azǎn wè jɛ nukɔn nú dìn,azǎn wè gudo dìn,azǎn ɛnɛ,azǎn ɛnɛ jɛ nukɔn nú dìn,azǎn ɛnɛ ɖíe,azǎn atɔn,azǎn atɔn jɛ nukɔn nú dìn,azǎn atɔn ɖíe,0.25,1,0.25,0.5,0,0.5,2,Africa,6.416666667,2.166666667,fonn1241,fon,Niger-Congo,Kwa,Gbe,BJ,Af1,Fon,fonn1241,Fon,West Tropical Africa,0.553172793,0.021199859,0.142811243,0.025,0.205,0.105,0.205,0.505,1890,City and environs of Abomey,25000,NA,5000-50000,Niger-Congo
Dutch,gisteren,vandaag,morgen,de dag,eergisteren,overmorgen,twee dagen,twee dagen voor nu,twee dagen na nu,vier dagen,vier dagen voor nu,vier dagen vanaf nu,drie dagen,drie dagen voor nu,drie dagen vanaf nu,1,1,1,1,1,2,5,Eurasia,52.5,6,dutc1256,nld,Indo-European,None,Germanic,NL,Cg1,Dutch,dutc1256,Dutch,Middle Europe,-0.829949412,0.066112944,-0.220475284,0.025,0.025,0.105,0.305,0.605,1950,NA,NA,NA,50000,Indo-European
Greek,εχθές,σήμερα,αύριο,την ημέρα,προχθές,μεθαύριο,δύο μέρες,δύο μέρες πριν,δύο μέρες μετά τώρα,τέσσερις μέρες,τέσσερις μέρες πριν,τέσσερις μέρες από τώρα,τρεις μέρες,τρεις μέρες πριν,τρεις μέρες από τώρα,1,1,1,1,1,2,5,Eurasia,39,22,mode1248,ell,Indo-European,NA,Greek,GR,Ef9,Gujarati,guja1252,Gujarati,Indian Subcontinent,-0.829949412,0.066112944,-0.220475284,0.025,0.025,0.105,0.305,0.605,1950,NA,NA,NA,50000,Indo-European
Sinhala,ඊයේ,අද,හෙට,දවස,පෙරේදා,අනිද්දා,දින දෙකක්,දැන් දවස් දෙකකට කලින්,දැන් දවස් දෙකකට පස්සේ,දින හතරක්,දැන් දවස් හතරකට කලින්,දැන් සිට දින හතරක්,දින තුනක්,දැන් දවස් තුනකට කලින්,දැන් සිට දින තුනක්,1,1,1,0,0,0,3,Eurasia,7,80.5,sinh1246,sin,Indo-European,NA,Indic,LK,Eh6,Sinhalese,sinh1246,Sinhala,Indian Subcontinent,-0.829949412,0.066112944,-0.220475284,0.025,0.025,0.105,0.305,0.605,1950,NA,2157000,1954,50000,Indo-European
Ukrainian,вчора,сьогодні,завтра,день,позавчора,післязавтра,два дні,два дні тому,через два дні,чотири дні,чотири дні тому,через чотири дні,три дні,три дні тому,через три дні,1,1,1,1,1,2,5,Eurasia,49,33,ukra1253,ukr,Indo-European,None,Slavic,UA,NA,Ukrainians,east2270,East Ukrainian,Eastern Europe,-0.829949412,0.066112944,-0.220475284,0.025,0.025,0.105,0.305,0.605,1930,NA,NA,NA,50000,Indo-European
Amharic,ትናንት,ዛሬ,ነገ,ቀኑ,ከትናንት በፊት ባለው ቀን,ከነገ ወዲያ,ሁለት ቀናት,አሁን ከሁለት ቀናት በፊት,ከሁለት ቀናት በኋላ,አራት ቀናት,ከአራት ቀናት በፊት,ከአራት ቀናት በኋላ,ሶስት ቀናት,አሁን ከሶስት ቀናት በፊት,ከሦስት ቀናት በኋላ,1,1,1,0.5,0,0.5,3.5,Africa,10,38,amha1245,amh,Afro-Asiatic,None,Semitic,ET,Ca7,Amhara,amha1245,Amharic,Northeast Tropical Africa,-0.829949412,0.066112944,-0.220475284,0.025,0.025,0.105,0.305,0.605,1950,Gondar district,22000,1953,50000,Afro-Asiatic
Aymara,wasüru,jichhüru,qharüru,uka uruxa,qharüru nayrïr uru,qharüru qhipa uru,pä uru,pä uru nayraqata,pä uru qhipatsti,pusi uru,pusi uru nayraqata,pusi urunak saraqataruw purini,kimsa uru,kimsa uru nayraqata,kimsa urut jichhakama,1,1,1,0.5,0,0.5,3.5,South America,-17,-69,cent2142,ayr,Aymaran,NA,Aymaran,NA,Sf2,Aymara,cent2142,Central Aymara,Western South America,-0.829949412,0.066112944,-0.220475284,0.025,0.025,0.105,0.305,0.605,1940,NA,600000,1936,NA,Aymaran
Belarusian,учора,сёння,заўтра,дзень,пазаўчора,паслязаўтра,два дні,два дні таму,праз два дні,чатыры дні,чатыры дні таму,праз чатыры дні,тры дні,тры дні таму,праз тры дні,1,1,1,1,1,2,5,Eurasia,53.23,25.6,bela1254,NA,Indo-European,NA,NA,NA,NA,Byelorussians,bela1254,Belarusian,Eastern Europe,-0.829949412,0.066112944,-0.220475284,0.025,0.025,0.105,0.305,0.605,1910,NA,NA,NA,5000-50000,Indo-European
Estonian,eile,täna,homme,päeval,üleeile,ülehomme,kaks päeva,kaks päeva varem,kaks päeva hiljem,neli päeva,neli päeva varem,nelja päeva pärast,kolm päeva,kolm päeva varem,kolme päeva pärast,1,1,1,1,1,2,5,Eurasia,59,26,esto1258,ekk,Uralic,Finno-Ugric,Finnic,EE,ch16,Estonians,esto1258,Estonian,Eastern Europe,-0.829949412,0.066112944,-0.220475284,0.025,0.025,0.105,0.305,0.605,1908,NA,350000,1897,50000,Uralic
Rundi,ejo,uno musi,ejo,umusi,umusi w'imbere y'ejo,umusi ukurikira ejo,imisi ibiri,imisi ibiri imbere y'ubu,haciye imisi ibiri ubu,imisi ine,imisi ine imbere y'ubu,imisi ine kuva ubu,imisi itatu,imisi itatu imbere y'ubu,imisi itatu kuva ubu,0.25,1,0.25,0.5,0.5,1,2.5,Africa,-3.5,30,rund1242,run,Niger-Congo,Benue-Congo,Bantu,BI,Ae8,Rundi,rund1242,Rundi,West-Central Tropical Africa,-0.829949412,0.066112944,-0.220475284,0.025,0.025,0.105,0.305,0.605,1910,NA,2000000,NA,NA,Niger-Congo
Malayalam,ഇന്നലെ,ഇന്ന്,നാളെ,ദിവസം,തലേദിവസം,മറ്റന്നാൾ,രണ്ടു ദിവസം,ഇപ്പോൾ രണ്ട് ദിവസം മുമ്പ്,ഇപ്പോൾ രണ്ട് ദിവസം കഴിഞ്ഞ്,നാലു ദിവസം,ഇപ്പോൾ നാല് ദിവസം മുമ്പ്,ഇനി മുതൽ നാല് ദിവസം,മൂന്നു ദിവസം,ഇപ്പോൾ മൂന്ന് ദിവസം മുമ്പ്,ഇപ്പോൾ മുതൽ മൂന്ന് ദിവസം,1,1,1,1,1,2,5,Eurasia,10,76.5,mala1464,mal,Dravidian,None,Dravidian,IN,Eg6,Kerala,mala1464,Malayalam,Indian Subcontinent,-0.829949412,0.066112944,-0.220475284,0.025,0.025,0.105,0.305,0.605,1799,NA,NA,NA,50000,Dravidian
Wolof,démb,tey,suba,bis bi,bis bi njëkk démb,ëlëg,ñaari fan,ñaari fan ci ginaaw leegi,ñaari fan ci ginnaaw leegi,ñeenti fan,ñeenti fan balaa leegi,ñeenti fan ci ginaaw,ñetti fan,ñetti fan balaa leegi,ñetti fan ci ginaaw leegi,1,1,1,0,0.5,0.5,3.5,Africa,15.25,-16,nucl1347,wol,Niger-Congo,North-Central Atlantic,Wolof,GM SN,Cb2,Wolof,nucl1347,Wolof,West Tropical Africa,-0.829949412,0.066112944,-0.220475284,0.025,0.025,0.105,0.305,0.605,1950,NA,660000,1949,50000,Niger-Congo
Mangghuer,tɕʰukuti‧,niuti‧,mɐloŋ‧,,tɕuti‧,tɕʰinɐti‧,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,5,Eurasia,36,102,tuuu1240,mjg,Altaic,NA,Mongolic,NA,Eb2,Tu,tuuu1240,Monguoric,China,-0.829949412,0.066112944,-0.220475284,0.025,0.025,0.105,0.305,0.605,1920,NA,55000,1939,Missing data,Altaic
Malagasy,omaly,ANIO,rahampitso,ny andro,ny afak’omaly,ny ampitso,roa andro,roa andro mialoha izao,roa andro taorian'izay,efatra andro,efatra andro mialoha izao,efatra andro manomboka izao,telo andro,telo andro mialoha izao,telo andro manomboka izao,1,1,1,0.5,0,0.5,3.5,Africa,-20,47,plat1254,plt,Austronesian,None,Barito,MG,Eh9,Antaisaka,tesa1236,Tesaka Malagasy,Western Indian Ocean,-0.28019566,0.125375664,-0.869762632,0.025,0.025,0.205,0.305,0.505,1930,NA,225000,1951,NA,Austronesian
Sindhi,ڪالهه,اڄ,سڀاڻي,ڏينهن,ڪالهه کان اڳ ڏينهن,سڀاڻي کان پوء,ٻه ڏينهن,اڄ کان ٻه ڏينهن اڳ,ٻن ڏينهن کان پوءِ,چار ڏينهن,اڄ کان چار ڏينهن اڳ,هينئر کان چار ڏينهن,ٽي ڏينهن,اڄ کان ٽي ڏينهن اڳ,هينئر کان ٽي ڏينهن,1,1,1,0.5,0,0.5,3.5,Eurasia,26,69,sind1272,snd,Indo-European,None,Indic,PK IN,Ea1,Sindhi,sind1272,Sindhi,Indian Subcontinent,-0.28019566,0.125375664,-0.869762632,0.025,0.025,0.205,0.305,0.505,1950,NA,9500000,1961,50000,Indo-European
Steppe Mari,кечээ,Таче,эрла,кече,теҥгече ончычсо кече,эрласе кече,кок кече кок кече,ынде кок кече ончыч,ынде кок кече гыч,куд кече,ынде куд кече ончыч,ынде куд кече гыч,кум кече,ынде кум кече ончыч,ынде кум кече гыч,1,1,1,0.5,0,0.5,3.5,Eurasia,57,48,east2328,mhr,Uralic,Finno-Ugric,Mari,RU,Ch4,Mari,east2328,Eastern Mari,Eastern Europe,-0.28019566,0.125375664,-0.869762632,0.025,0.025,0.205,0.305,0.505,1900,NA,400000,1941,400-1000,Uralic
Yuki,sum,ka 'e-nay'; ha*-'a*-ye,haw,,0,k'ol' haw,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,1,0,0.5,0.5,3,North America,39.66666667,-123.5,yuki1243,yuk,Wappo-Yukian,NA,Yuki,US,Nc7,Yuki,yuki1243,Northern Yukian,Southwestern U.S.A.,4.882653051,0.208723901,1.184312371,0.405,0.305,0.305,0.025,0.025,1850,2000,NA,NA,NA,Yuki-Wappo
Hausa,jiya,yau,gobe,ranar,Jiya kafin jiya,jibi bayan gobe,kwana biyu,kwana biyu yanzu,bayan kwana biyu yanzu,kwana hudu,saura kwana hudu yanzu,saura kwana hudu,kwana uku,saura kwana uku yanzu,saura kwana uku,1,1,1,0,0.5,0.5,3.5,Africa,12,7,haus1257,hau,Afro-Asiatic,Chadic,West Chadic,NG NE,Cb26,Zazzagawa Hausa,haus1257,Hausa,West Tropical Africa,-0.720520422,0.236373994,0.700427036,0.105,0.025,0.025,0.305,0.605,1950,NA,260000,1948,50000,Afro-Asiatic
Kinyarwanda,ejo,Uyu munsi,ejo,umunsi,ejobundi,umunsi ukurikira ejo,iminsi ibiri,iminsi ibiri mbere yubu,iminsi ibiri nyuma yubu,iminsi ine,iminsi ine mbere ya none,iminsi ine uhereye none,iminsi itatu,iminsi itatu mbere yubu,iminsi itatu uhereye none,0.25,1,0.25,0,0.5,0.5,2,Africa,-2,30,kiny1244,kin,Niger-Congo,Benue-Congo,Bantu,RW,Ae10,Banyaruanda,kiny1244,Kinyarwanda,West-Central Tropical Africa,-0.646172261,0.28649041,0.395539881,0.025,0.105,0.025,0.305,0.605,1910,NA,2133000,1952,100-199,Niger-Congo
Sotho (Northern),maabane,lehono,gosasa,letšatši leo,letšatši pele ga maabane,letšatši la ka morago ga gosasa,matšatši a mabedi,matšatši a mabedi pele ga bjale,matšatši a mabedi ka morago ga bjale,matšatši a mane,matšatši a mane pele ga bjale,matšatši a mane go tloga bjale,matšatši a mararo,matšatši a mararo pele ga bjale,matšatši a mararo go tloga bjale,1,1,1,0.5,0.5,1,4,Africa,-24,29,pedi1238,nso,Niger-Congo,Benue-Congo,Bantu,ZA,Ab15,Pedi,tswe1238,Tswene,Southern Africa,-0.646172261,0.28649041,0.395539881,0.025,0.105,0.025,0.305,0.605,1860,NA,100000,1931,200-399,Niger-Congo
Sanskrit,ह्यः,अद्य,श्वः,दिनम्,श्वः पूर्वदिने,श्वः परदिने,द्वौ दिवसौ,अधुना द्वौ दिवसौ पूर्वं,इदानीं द्वयोः दिवसयोः अनन्तरम्,चतुर्दिनानि,अधुना चतुर्दिनानि पूर्वं,इतः परं चतुर्दिनानि यावत्,त्रयः दिवसाः,अधुना त्रयः दिवसाः पूर्वं,इतः परं त्रयः दिवसाः,1,1,1,0,0,0,3,Eurasia,20,77,sans1269,Sanskrit,Indo-European,NA,NA,NA,Ef3,Indo-Iranian,sans1269,Sanskrit,Indian Subcontinent,-0.646172261,0.28649041,0.395539881,0.025,0.105,0.025,0.305,0.605,NA,NA,None,NA,NA,Indo-European
Dagur,utiʃ‧,ənə utur‧,punj utur‧,uturtəː‧,kʰətʃʰik utur‧,tʃʰɑːtʃ utur‧,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,0.5,0.5,0.5,1,3,Eurasia,48,124,daur1238,dta,Altaic,NA,Mongolic,NA,Eb4,Dagur,daur1238,Dagur,China,-0.646172261,0.28649041,0.395539881,0.025,0.105,0.025,0.305,0.605,1940,NA,NA,1943,Missing data,Altaic
Nuosu,a21ndzɿ33ȵi44‧,i21ȵi21‧,mo21xɯ33ȵi21‧,,a21ȵi21ʂɿ33mu34ndzɿ33ȵi44‧,pʰi55ndzɿ33ȵi44‧,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.5,0.5,0.5,1,3.5,Eurasia,28,103,sich1238,iii,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,NA,Ed2,Lolo,sich1238,Sichuan Yi,China,-0.646172261,0.28649041,0.395539881,0.025,0.105,0.025,0.305,0.605,1940,NA,NA,NA,100-199,Sino-Tibetan
Ndumbe(Ndombe?)Ndonga,ijilo,sunu,juunza,buzuba,buzuba bwakainda jilo,buzuba butobela,mazuba obile,mazuba obile kakutanaba lino,mazuba obile kuzwa lino,mazuba one,mazuba one kakutanaba lino,mazuba one kuzwa lino,mazuba otatwe,mazuba otatwe kakutanaba lino,mazuba otatwe kuzwa lino,1,1,1,0,0,0,3,Africa,-18,17,ndon1254,ndo,Niger-Congo,Benue-Congo,Bantu,AO NA,Ab19,Ambo,ndon1254,Ndonga,South Tropical Africa,-0.162628279,0.381861577,-0.141605991,0.025,0.105,0.105,0.305,0.505,1910,NA,60000,1948,NA,Niger-Congo
Tsonga,tolo,namuntlha,mundzuku,siku,siku ra le mahlweni ka tolo,siku leri landzelaka mundzuku,masiku mambirhi,masiku mambirhi emahlweni ka sweswi,masiku mambirhi endzhaku ka sweswi,masiku ya mune,masiku ya mune emahlweni ka sweswi,masiku ya mune ku sukela sweswi,masiku manharhu,masiku manharhu emahlweni ka sweswi,masiku manharhu ku sukela sweswi,1,1,1,0.5,0.5,1,4,Africa,-24,32,tson1249,tso,Niger-Congo,Benue-Congo,Bantu,MZ ZA,NA,Tsonga,tson1249,Tsonga,South Tropical Africa,-0.162628279,0.381861577,-0.141605991,0.025,0.105,0.105,0.305,0.505,1920,NA,None,NA,None,Niger-Congo
Tiwi,awurlaga,ningani,pangarri ,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,3,Australia,-11.5,131,tiwi1244,tiw,Tiwian,NA,Tiwian,AU,Id3,Tiwi,tiwi1244,Tiwi,Australia,5.019439289,0.421550213,2.335440271,0.505,0.305,0.205,0.025,0.025,1920,1000,NA,NA,NA,Isolates
Southern Sotho,maobane,kajeno,hosane,letsatsi,letsatsi pele ho maobane,hosane ka mora hosasane,matsatsi a mabeli,matsatsi a mabeli pele ho joale,matsatsi a mabeli hamorao,matsatsi a mane,matsatsi a mane pele ho jwale,matsatsi a mane ho tloha joale,matsatsi a mararo,matsatsi a mararo pele ho jwale,matsatsi a mararo ho tloha joale,1,1,1,0.5,0,0.5,3.5,Africa,-28,27,sout2807,sot,Niger-Congo,Benue-Congo,Bantu,LS ZA,Ab8,Sotho,sout2807,Southern Sotho,Southern Africa,-0.053199289,0.552122627,0.779296329,0.105,0.105,0.025,0.305,0.505,1860,Basuto,900000,1953,200-399,Niger-Congo
Xhosa,izolo,namhlanje,ngomso,Usuku,Usuku phambi kwelayizolo,ngapha kwangomso,iintsuku ezimbini,kwiintsuku ezimbini ngaphambili ngoku,emva kweentsuku ezimbini ngoku,iintsuku ezine,kwiintsuku ezine phambi koku,kwiintsuku ezine ukususela ngoku,iintsuku ezintathu,kwiintsuku ezintathu ngaphambili,kwiintsuku ezintathu ukususela ngoku,1,1,1,0.5,0.5,1,4,Africa,-32,27,xhos1239,xho,Niger-Congo,Benue-Congo,Bantu,ZA,Ab11,Xhosa Ngqika,xesi1238,Xesibe,Southern Africa,-0.053199289,0.552122627,0.779296329,0.105,0.105,0.025,0.305,0.505,1850,NA,NA,NA,Missing data,Niger-Congo
Serbian-Croatian,јуче,данас,сутра,дан,прекјуче,прекосутра,два дана,два дана раније,два дана касније,четири дана,четири дана раније,четири дана од сада,три дана,три дана раније,три дана од сада,1,1,1,1,1,2,5,Eurasia,44,19,sout1528,hbs,Indo-European,NA,Slavic,RS BA HR,NA,Serbs,serb1264,Serbian Standard,Southeastern Europe,-1.249819275,0.666138049,0.152984961,0.025,0.025,0.025,0.405,0.605,1950,NA,2200,1953,50000,Indo-European
Tatar,Кичә,Бүген,иртәгә,көн,кичә,иртәгәдән икенче көн,ике көн,ике көн элек,ике көннән соң,дүрт көн,дүрт көн элек,дүрт көн,өч көн,өч көн элек,өч көннән,1,1,1,0,0.5,0.5,3.5,Eurasia,56,49.5,tata1255,tat,Altaic,None,Turkic,RU,ch20,Kazan tatar,midd1325,Central Tatar,Eastern Europe,-1.249819275,0.666138049,0.152984961,0.025,0.025,0.025,0.405,0.605,1910,NA,675419,1897,50000,Altaic
Central Tibetans,ཁ་སང་kʰɛ55sa55‧,དེ་རིང་tʰə11rĩ13‧,སང་ཉིནsɛ̃55ȵĩ55‧,ཉིན།,ཁ་སང་ཉིན་སྔོན་མ།kʰɛ55ȵĩ55ka0‧,སང་ཉིན་གྱི་ཉིན་མོ།nɛ̃55ȵĩ55‧,ཉིན་གཉིས།,ཉིན་གཉིས་ཀྱི་གོང་དུ།,ད་ལྟ་ནས་ཉིན་གཉིས་འགོར་རྗེས།,ཉིན་བཞི།,ད་ལྟའི་ཉིན་བཞིའི་སྔོན་དུ།,ད་ནས་བཟུང་ཉིན་བཞི།,ཉིན་གསུམ།,ཉིན་གསུམ་སྔོན་ལ།,ད་ནས་བཟུང་ཉིན་གསུམ་འགོར་རྗེས།,1,1,1,0.5,0.5,1,4.5,NA,30,91,NA,NA,Sino-Tibetan,NA,NA,NA,Ee4,Central Tibetans,dbus1238,Ü,China,-1.249819275,0.666138049,0.152984961,0.025,0.025,0.025,0.405,0.605,1920,NA,4000000,None,5000-50000,Sino-Tibetan
Hebrew,אֶתמוֹל,הַיוֹם,מָחָר,היום,שלשום,מחרתיים,יומיים,יומיים לפני כן,יומיים אחרי עכשיו,ארבעה ימים,ארבעה ימים לפני כן,ארבעה ימים מהיום,שלושה ימים,שלושה ימים לפני כן,שלושה ימים מהיום,1,1,1,1,1,2,5,Eurasia,31.5,34.83333333,hebr1245,heb,Afro-Asiatic,NA,Semitic,IL,NA,NA,NA,NA,NA,0.616846912,0.716596131,-0.020874384,0.025,0.205,0.105,0.305,0.405,NA,NA,NA,NA,5000-50000,Afro-Asiatic
Turkish,dün,bugün,yarın,gün,dünden önceki gün,yarından sonraki gün,iki gün,şimdiden iki gün önce,şimdiden iki gün sonra,dört gün,şimdiden dört gün önce,şimdiden dört gün sonra,üç gün,şimdiden üç gün önce,şimdiden üç gün sonra,1,1,1,0.5,0.5,1,4,Eurasia,39,35,nucl1301,tur,Altaic,None,Turkic,TR,Ci5,Turks,nucl1301,Turkish,Western Asia,-1.07808678,0.749909778,0.218804572,0.05,0.05,0.05,0.45,0.65,1950,NA,NA,NA,50000,Altaic
Turkmen,düýn,Bu gün,ertir,NA,düýn bir gün öň,ertesi gün,iki gün,iki gün öň,iki günden soň,dört gün,dört gün öň,dört günden,üç gün,üç gün öň,üç günden,1,1,1,0.5,0,0.5,3.5,Eurasia,40,58,turk1304,tuk,Altaic,None,Turkic,TM,Eb5,Turkmen,turk1304,Turkmen,Middle Asia,-1.07808678,0.749909778,0.218804572,0.05,0.05,0.05,0.45,0.65,1910,NA,800000,1939,NA,Altaic
Galician,onte,hoxe,mañá,o día,antes de onte,pasadomañá 看Catalan语,dous días,dous días antes,dous días despois de agora,catro días,catro días antes,dentro de catro días,tres días,tres días antes,dentro de tres días,1,1,1,0,1,1,4,Eurasia,43,-8,gali1258,glg,Indo-European,None,Romance,ES,Ce2,Portuguese,gali1257,Galician Portuguese,Southwestern Europe,-0.766275293,0.761509216,-0.384160911,0.025,0.025,0.105,0.405,0.505,1950,with special reference to the village of Rio de Onor in the extreme northeast,NA,NA,None,Indo-European
Lithuanian,vakar,šiandien,rytoj,dieną,užvakar,poryt,dvi dienas,prieš dvi dienas,po dviejų dienų,keturias dienas,prieš keturias dienas,keturios dienos nuo dabar,tris dienas,prieš tris dienas,nuo trijų dienų,1,1,1,1,0,1,4,Eurasia,55,24,lith1251,lit,Indo-European,None,Baltic,LT,NA,Lithuanians,lith1251,Lithuanian,Eastern Europe,-0.766275293,0.761509216,-0.384160911,0.025,0.025,0.105,0.405,0.505,NA,NA,217000,1950,50000,Indo-European
